#Sample	Age	Genotype	Phenotype	Age_Genotype	Age_Phenotype
01.AV555	20wk	tg/tg	T	20wk_tg/tg	20wk_T
02.AV604	12wk	tg/tg	T	12wk_tg/tg	12wk_T
03.AV612	20wk	tg/tg	T	20wk_tg/tg	20wk_T
04.AV650	20wk	tg/tg	T	20wk_tg/tg	20wk_T
05.AV717	20wk	tg/tg	T	20wk_tg/tg	20wk_T
06.AV718	20wk	tg/tg	T	20wk_tg/tg	20wk_T
07.AV770	12wk	tg/tg	T	12wk_tg/tg	12wk_T
08.AV782.2	12wk	tg/tg	T	12wk_tg/tg	12wk_T
09.AV791	12wk	tg/tg	T	12wk_tg/tg	12wk_T
10.AV794	12wk	tg/tg	T	12wk_tg/tg	12wk_T
11.AV833	12wk	tg/tg	T	12wk_tg/tg	12wk_T
12.AV967	5wk	tg/tg	NT	5wk_tg/tg	5wk_NT
13.AV968	5wk	tg/tg	NT	5wk_tg/tg	5wk_NT
14.AV971	5wk	tg/tg	NT	5wk_tg/tg	5wk_NT
15.AV972	5wk	tg/tg	NT	5wk_tg/tg	5wk_NT
16.AV974	5wk	tg/tg	NT	5wk_tg/tg	5wk_NT
17.AV996	5wk	tg/tg	NT	5wk_tg/tg	5wk_NT
18.AV551	20wk	tg/tg	T	20wk_tg/tg	20wk_T
19.AV572	20wk	fl/fl	NT	20wk_fl/fl	20wk_NT
20.AV580	12wk	fl/fl	NT	12wk_fl/fl	12wk_NT
21.AV586	20wk	fl/fl	NT	20wk_fl/fl	20wk_NT
22.AV589	20wk	fl/fl	NT	20wk_fl/fl	20wk_NT
23.AV590	20wk	fl/fl	NT	20wk_fl/fl	20wk_NT
24.AV591	20wk	fl/fl	NT	20wk_fl/fl	20wk_NT
25.AV598	20wk	fl/fl	NT	20wk_fl/fl	20wk_NT
26.AV608	12wk	fl/fl	NT	12wk_fl/fl	12wk_NT
27.AV609	12wk	fl/fl	NT	12wk_fl/fl	12wk_NT
28.AV610	12wk	fl/fl	NT	12wk_fl/fl	12wk_NT
29.AV611	12wk	fl/fl	NT	12wk_fl/fl	12wk_NT
30.AV802	12wk	fl/fl	NT	12wk_fl/fl	12wk_NT
31.AV521	20wk	tg/wt	NT	20wk_tg/wt	20wk_NT
32.AV527	20wk	tg/wt	NT	20wk_tg/wt	20wk_NT
33.AV541	20wk	tg/wt	NT	20wk_tg/wt	20wk_NT
34.AV542	20wk	tg/wt	NT	20wk_tg/wt	20wk_NT
35.AV543	20wk	tg/wt	NT	20wk_tg/wt	20wk_NT
36.AV567	12wk	tg/wt	NT	12wk_tg/wt	12wk_NT
37.AV568	12wk	tg/wt	NT	12wk_tg/wt	12wk_NT
38.AV570	12wk	tg/wt	NT	12wk_tg/wt	12wk_NT
39.AV571	20wk	tg/wt	NT	20wk_tg/wt	20wk_NT
40.AV579	12wk	tg/wt	NT	12wk_tg/wt	12wk_NT
41.AV803	12wk	tg/wt	NT	12wk_tg/wt	12wk_NT
42.AV814	12wk	tg/wt	NT	12wk_tg/wt	12wk_NT
43.AV583	5wk	tg/wt	NT	5wk_tg/wt	5wk_NT
44.AV584	5wk	tg/wt	NT	5wk_tg/wt	5wk_NT
45.AV587	5wk	tg/wt	NT	5wk_tg/wt	5wk_NT
46.AV588	5wk	tg/wt	NT	5wk_tg/wt	5wk_NT
47.AV596	5wk	tg/wt	NT	5wk_tg/wt	5wk_NT
48.AV597	5wk	tg/wt	NT	5wk_tg/wt	5wk_NT
49.AV816	5wk	fl/fl	NT	5wk_fl/fl	5wk_NT
50.AV817	5wk	fl/fl	NT	5wk_fl/fl	5wk_NT
51.AV863	5wk	fl/fl	NT	5wk_fl/fl	5wk_NT
52.AV864	5wk	fl/fl	NT	5wk_fl/fl	5wk_NT
53.AV865	5wk	fl/fl	NT	5wk_fl/fl	5wk_NT
54.AV866	5wk	fl/fl	NT	5wk_fl/fl	5wk_NT
